,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy & Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Prices and Price Indices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Consumer Price Index (CPI)/ Inflation Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Consumer Price Index (CPI), 2024 As Base Year, Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 24/02/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Index
Data Series,2024 ,2023 ,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 ,1989 ,1988 ,1987 ,1986 ,1985 ,1984 ,1983 ,1982 ,1981 ,1980 ,1979 ,1978 ,1977 ,1976 ,1975 ,1974 ,1973 ,1972 ,1971 ,1970 ,1969 ,1968 ,1967 ,1966 ,1965 ,1964 ,1963 ,1962 ,1961 
All Items,100,97.666,93.163,87.781,85.794,85.942,85.457,85.084,84.596,85.046,85.493,84.618,82.664,79.043,75.099,73.033,72.606,68.088,66.681,66.043,65.732,64.651,64.337,64.59,63.942,63.091,63.076,63.248,61.994,61.15,60.114,58.309,57.003,55.752,53.898,52.1,50.932,50.168,49.926,50.626,50.378,49.1,48.595,46.763,43.223,39.822,38.289,36.793,35.657,36.346,35.433,28.957,24.208,23.7,23.263,23.196,23.223,23.057,22.345,21.902,21.848,21.494,21.046,20.953
  Food,100,97.24,91.902,87.266,86.018,84.449,83.185,82.006,80.868,79.23,77.727,75.541,73.991,72.314,70.172,69.232,67.706,62.843,61.015,60.08,59.316,58.15,57.804,57.776,57.484,57.18,56.688,56.551,55.429,54.287,53.068,51.264,50.779,50.175,49.403,49.029,48.488,47.823,47.904,48.629,49.206,48.467,48.273,45.98,41.963,38.961,37.893,36.164,34.471,36.695,36.307,28.887,21.696,21.177,20.706,20.826,21.183,21.131,20.199,19.648,19.746,19.263,18.579,18.454
  Food Excl Food & Beverage Serving Services,100,98.79,93.966,89.266,87.865,85.408,84.455,83.367,82.303,80.434,79.445,77.215,75.527,73.763,71.239,69.623,67.922,61.894,59.487,58.37,57.207,55.389,55.065,55.659,55.876,55.576,54.885,55.461,54.172,53.301,52.508,50.948,50.967,50.435,49.875,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Rice & Cereal Products,100,96.482,90.274,86.768,86.181,84.505,83.191,82.014,81.513,80.475,79.487,78.348,77.3,75.931,74.627,73.116,70.583,60.824,58.862,58.182,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Rice,100,97.842,94.995,96.322,98.206,96.513,92.848,91.589,92.048,91.343,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Flour,100,100.251,90.454,88.636,90.427,92.402,92.576,94.411,94.108,93.086,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Bread,100,95.696,88.388,84.046,82.966,82.244,81.355,80.098,79.642,78.13,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"      Macaroni, Noodles & Similar Pasta Products",100,98.933,92.918,87.123,86.048,84.326,84.892,84.461,84.402,83.556,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Biscuits & Cookies,100,98.179,91.96,85.617,85.268,81.799,80.756,79.448,78.608,77.021,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Cakes & Pastries,100,95.395,89.225,85.563,84.304,82.298,81.018,79.361,78.137,77.515,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Breakfast Cereals,100,95.808,85.557,83.731,82.88,81.299,80.815,81.415,82.445,81.524,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Other Cereal Products Nec,100,92.598,85.561,84.398,83.032,81.159,79.79,79.387,78.966,77.922,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Meat,100,100.005,93.833,85.627,85.393,80.875,80.797,80.854,80.388,78.672,78.146,76.821,76.231,74.81,72.725,71.468,68.006,61.302,59.857,59.136,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"      Pork, Chilled Or Frozen",100,100.511,95.226,93.539,94.059,86.546,86.956,86.907,86.769,84.296,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
